name,kind,weight
Yaragatti,surname,6
Gadag,surname,6
Belagavi,surname,6
Karjol,surname,6
Savadi,surname,6
Jarkiholi,surname,5
Katti,surname,5
Kadam,surname,5
Nadgouda,surname,5
Patgar,surname,5
Rai,surname,5
Poojary,surname,5
Salian,surname,5
Karkera,surname,5
Suvarna,surname,4
Devadiga,surname,4
Kotian,surname,4
Amin,surname,4
Bangera,surname,4
Adiga,surname,4
Udupa,surname,4
Ballal,surname,4
Holla,surname,4
Padiyar,surname,3
Alva,surname,3
Baliga,surname,3
Kudva,surname,3
Mallya,surname,3
Nadkarni,surname,3
Tantry,surname,3
Anantha,surname,3
Chikkamath,surname,3
Ganiger,surname,2
Havanur,surname,2
Jakkanavar,surname,2
Kalburgi,surname,2
Lamani,surname,2
Madar,surname,2
Nagappa,surname,2
Odeyar,surname,2
Palled,surname,2
Rachappa,surname,1
Sajjan,surname,1
Tikota,surname,1
Uppar,surname,1
Vaddar,surname,1
Wodeyar,surname,1
Yalagi,surname,1
Basavanna,surname,1
Chennappa,surname,1
